feature,Protocol,Flow Duration,Total Fwd Packets,Total Backward Packets,Fwd Packets Length Total,Bwd Packets Length Total,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,SYN Flag Count,RST Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,Down/Up Ratio,Avg Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init Fwd Win Bytes,Init Bwd Win Bytes,Fwd Act Data Packets,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
Bwd Packet Length Max,-0.224562,0.275589,0.062975,0.57024,-0.009669,0.593405,0.198173,-0.172314,-0.12276,0.458261,1.0,0.035408,0.810972,0.92488,-0.035814,-0.049119,-0.015854,0.098741,0.285543,-0.002748,0.273012,0.022323,0.141697,0.283217,-0.002499,0.381732,0.072008,0.157961,0.293316,0.01103,-0.006016,0.006887,-0.001319,-0.048817,-0.007308,-0.172965,0.820804,0.064131,0.871858,0.788565,-0.003401,-0.006016,0.287107,-0.02291,-0.015218,0.136201,0.022988,-0.12276,0.810972,0.062975,-0.009669,0.57024,0.593405,0.38886,0.065258,-0.008927,0.023821,0.099132,0.078109,0.09891,0.074145,0.309444,0.018743,0.272477,0.335237
Bwd Packet Length Min,0.098179,-0.067268,-0.112533,0.003256,-0.03654,-0.004456,-0.240583,-0.250743,-0.28108,-0.058475,0.035408,1.0,0.234527,-0.034073,-0.059946,-0.081759,-0.093031,-0.088837,-0.068178,-0.004519,-0.066789,-0.083492,-0.082755,-0.067881,-0.004146,-0.037572,-0.021508,-0.025327,-0.030457,0.12713,0.004848,0.010887,-0.058986,-0.081499,-0.008632,-0.255367,-0.123335,-0.246775,0.055196,-0.001872,-0.003488,0.004848,-0.082546,-0.038208,-0.03681,0.327716,-0.216942,-0.28108,0.234527,-0.112533,-0.03654,0.003256,-0.004456,-0.056931,-0.030289,-0.11019,0.031677,-0.01918,-0.015267,-0.02082,-0.014928,-0.045063,-0.030874,-0.046571,-0.041394
Bwd Packet Length Mean,-0.194807,0.185086,0.04334,0.501696,-0.01977,0.422693,0.108154,-0.215113,-0.179663,0.383128,0.810972,0.234527,1.0,0.872369,-0.046249,-0.063271,-0.050988,0.036959,0.20525,-0.003537,0.181897,-0.022155,0.071743,0.202047,-0.003224,0.276845,0.0318,0.098283,0.224147,0.03814,0.00363,0.008774,-0.013288,-0.063027,-0.007299,-0.216727,0.61984,0.052283,0.870459,0.602395,-0.003602,0.00363,0.242869,-0.010146,-0.001646,0.234865,0.00973,-0.179663,1.0,0.04334,-0.01977,0.501696,0.422693,0.345664,0.045987,-0.028811,0.02914,0.087556,0.060801,0.081862,0.068996,0.235187,-0.001356,0.202669,0.259016
Bwd Packet Length Std,-0.263699,0.279173,0.052015,0.447761,-0.01084,0.386379,0.229312,-0.177178,-0.117535,0.523809,0.92488,-0.034073,0.872369,1.0,-0.036179,-0.049544,-0.014922,0.102925,0.28302,-0.002787,0.27583,0.024749,0.146167,0.280012,-0.002532,0.389792,0.075091,0.161498,0.294506,0.004534,-0.004803,0.007019,0.00289,-0.04936,-0.005618,-0.177699,0.753483,0.069488,0.917984,0.644999,-0.003356,-0.004803,0.329977,-0.018023,-0.010264,0.108014,0.026817,-0.117535,0.872369,0.052015,-0.01084,0.447761,0.386379,0.439172,0.078796,-0.009987,0.024732,0.103208,0.081187,0.104471,0.077739,0.313969,0.009422,0.273886,0.342389
Flow Bytes/s,0.12972,-0.087133,-0.056427,-0.024522,-0.012067,-0.006991,0.373464,0.506499,0.502888,-0.033321,-0.035814,-0.059946,-0.046249,-0.036179,1.0,0.779414,-0.109857,-0.111479,-0.0912,-0.003747,-0.086462,-0.107742,-0.106691,-0.090317,-0.003404,-0.049684,-0.050393,-0.051848,-0.051324,-0.04054,-0.023183,0.00124,0.004328,0.783361,-0.011112,0.508172,0.211988,0.499321,-0.043988,-0.01279,-0.004996,-0.023183,-0.10172,-0.063093,-0.049567,-0.085434,0.600527,0.502888,-0.046249,-0.056427,-0.012067,-0.024522,-0.006991,-0.061194,-0.031399,-0.05369,-0.052151,-0.023836,-0.026186,-0.029326,-0.015201,-0.068105,-0.05368,-0.072215,-0.060463
Flow Packets/s,0.055434,-0.119771,-0.060694,-0.033175,-0.014697,-0.009621,0.200496,0.291376,0.286288,-0.030393,-0.049119,-0.081759,-0.063271,-0.049544,0.779414,1.0,-0.151007,-0.153237,-0.125362,-0.005151,-0.118848,-0.148101,-0.146656,-0.124148,-0.00468,-0.068294,-0.06927,-0.07127,-0.07055,-0.050202,0.100699,0.00256,0.005942,0.997651,0.093486,0.292568,0.09679,0.28036,-0.051974,-0.017527,0.028804,0.100699,-0.129748,0.087262,-0.009814,-0.100706,0.367671,0.286288,-0.063271,-0.060694,-0.014697,-0.033175,-0.009621,-0.033138,-0.038246,-0.05748,-0.045777,-0.032765,-0.035995,-0.040311,-0.020895,-0.093616,-0.073788,-0.099266,-0.083111
Flow IAT Mean,-0.472568,0.673492,-0.148422,0.014398,-0.061109,-0.010452,-0.239262,-0.247168,-0.298096,-0.074695,-0.015854,-0.093031,-0.050988,-0.014922,-0.109857,-0.151007,1.0,0.930871,0.711931,0.152753,0.673422,0.967104,0.880574,0.711612,0.153409,0.228909,0.371527,0.357033,0.290783,0.015467,-0.031946,0.017247,0.009421,-0.149663,-0.028495,-0.246945,-0.160792,-0.30881,-0.068144,-0.018746,-0.011488,-0.031946,0.618408,-0.117492,-0.104532,-0.152606,-0.268479,-0.298096,-0.050988,-0.148422,-0.061109,0.014398,-0.010452,0.154697,-0.030544,-0.156793,0.020416,0.117072,0.148738,0.152058,0.0636,0.63051,0.597849,0.687079,0.537616
Flow IAT Std,-0.509781,0.785101,-0.130409,0.083131,-0.06061,0.00876,-0.186791,-0.278831,-0.31679,0.027512,0.098741,-0.088837,0.036959,0.102925,-0.111479,-0.153237,0.930871,1.0,0.886336,0.001536,0.784564,0.953962,0.988654,0.885515,0.002393,0.440898,0.458223,0.499174,0.49899,0.018789,0.011821,0.018055,0.009334,-0.151874,-0.028915,-0.278682,-0.063532,-0.313476,0.04654,0.020519,-0.011644,0.011821,0.644974,-0.095003,-0.112544,-0.126434,-0.276141,-0.31679,0.036959,-0.130409,-0.06061,0.083131,0.00876,0.224185,-0.020292,-0.147138,0.028623,0.136857,0.192516,0.181806,0.065106,0.822836,0.62381,0.859,0.744903
Flow IAT Max,-0.498124,0.86522,-0.053409,0.244916,-0.046342,0.088246,-0.075259,-0.299665,-0.309585,0.187925,0.285543,-0.068178,0.20525,0.28302,-0.0912,-0.125362,0.711931,0.886336,1.0,0.026363,0.864143,0.78475,0.926799,0.998597,0.027008,0.683345,0.484418,0.604482,0.739644,0.020627,0.06006,0.015675,0.00743,-0.124247,-0.023654,-0.299733,0.112655,-0.273601,0.241516,0.108922,-0.009493,0.06006,0.604426,-0.049784,-0.091274,-0.050858,-0.250697,-0.309585,0.20525,-0.053409,-0.046342,0.244916,0.088246,0.294616,-0.010825,-0.087597,0.035884,0.214358,0.262662,0.251802,0.114283,0.960596,0.620827,0.981325,0.900134
Flow IAT Min,-0.010971,0.022818,-0.006383,-0.001791,-0.001945,-0.000538,-0.000406,0.003411,0.001574,-0.004768,-0.002748,-0.004519,-0.003537,-0.002787,-0.003747,-0.005151,0.152753,0.001536,0.026363,1.0,0.022859,0.120912,0.000641,0.02639,0.998698,-0.003812,-0.003867,-0.003978,-0.003938,-0.003112,0.02317,0.000521,0.000332,-0.005105,-0.000971,0.003451,-0.001821,0.001053,-0.004555,-0.001298,-0.000249,0.02317,-0.007808,0.027603,0.040527,-0.003254,0.004111,0.001574,-0.003537,-0.006383,-0.001945,-0.001791,-0.000538,0.002488,-0.000382,-0.006239,-0.003067,0.099254,0.026296,0.070133,0.095637,0.003389,0.006009,0.005408,0.001789
Fwd IAT Total,-0.544271,0.999386,-0.030646,0.249651,-0.043734,0.07469,-0.08605,-0.334862,-0.3426,0.211511,0.273012,-0.066789,0.181897,0.27583,-0.086462,-0.118848,0.673422,0.784564,0.864143,0.022859,1.0,0.760808,0.817568,0.865603,0.02347,0.786175,0.573903,0.644236,0.716898,0.02342,0.017271,0.015228,0.006746,-0.117791,-0.022426,-0.335067,0.087282,-0.313851,0.236653,0.093452,-0.009063,0.017271,0.639397,-0.066082,-0.087696,-0.076204,-0.288512,-0.3426,0.181897,-0.030646,-0.043734,0.249651,0.07469,0.299993,-0.018173,-0.073366,0.039873,0.205363,0.33873,0.324527,0.07754,0.838276,0.552172,0.867401,0.770039
Fwd IAT Mean,-0.520376,0.759655,-0.135946,0.043941,-0.060177,-0.00605,-0.245411,-0.292637,-0.338283,-0.033975,0.022323,-0.083492,-0.022155,0.024749,-0.107742,-0.148101,0.967104,0.953962,0.78475,0.120912,0.760808,1.0,0.934397,0.786318,0.121806,0.369165,0.517287,0.506782,0.435798,0.028912,-0.015724,0.017625,0.009183,-0.146783,-0.027948,-0.292557,-0.144072,-0.345336,-0.027715,-0.00616,-0.011341,-0.015724,0.671266,-0.102078,-0.105089,-0.155439,-0.303183,-0.338283,-0.022155,-0.135946,-0.060177,0.043941,-0.00605,0.189776,-0.041673,-0.145449,0.029731,0.11927,0.193529,0.179198,0.04627,0.706226,0.648364,0.766887,0.60644
Fwd IAT Std,-0.511779,0.816637,-0.114932,0.111257,-0.057508,0.018415,-0.162887,-0.288173,-0.319148,0.068994,0.141697,-0.082755,0.071743,0.146167,-0.106691,-0.146656,0.880574,0.988654,0.926799,0.000641,0.817568,0.934397,1.0,0.928404,0.001386,0.521934,0.495851,0.555191,0.577677,0.022001,0.028949,0.017566,0.008899,-0.145351,-0.027675,-0.288087,-0.024248,-0.310003,0.092124,0.03728,-0.011208,0.028949,0.64003,-0.07916,-0.108287,-0.126566,-0.27524,-0.319148,0.071743,-0.114932,-0.057508,0.111257,0.018415,0.241368,-0.034655,-0.134108,0.031277,0.136689,0.209976,0.189038,0.055747,0.871839,0.623949,0.901914,0.799215
Fwd IAT Max,-0.492395,0.864998,-0.052075,0.243184,-0.045848,0.087762,-0.073295,-0.295474,-0.305469,0.185484,0.283217,-0.067881,0.202047,0.280012,-0.090317,-0.124148,0.711612,0.885515,0.998597,0.02639,0.865603,0.786318,0.928404,1.0,0.027052,0.682205,0.48286,0.602846,0.737632,0.020328,0.060363,0.015506,0.007395,-0.123043,-0.023426,-0.295535,0.112656,-0.270008,0.238672,0.107536,-0.009449,0.060363,0.59726,-0.049371,-0.090922,-0.068731,-0.247373,-0.305469,0.202047,-0.052075,-0.045848,0.243184,0.087762,0.286677,-0.029342,-0.086,0.035305,0.20009,0.263158,0.24357,0.097632,0.960338,0.621559,0.981277,0.899661
Fwd IAT Min,-0.008485,0.023425,-0.005677,-0.001663,-0.001733,-0.000489,0.00122,0.00508,0.003458,-0.004251,-0.002499,-0.004146,-0.003224,-0.002532,-0.003404,-0.00468,0.153409,0.002393,0.027008,0.998698,0.02347,0.121806,0.001386,0.027052,1.0,-0.003463,-0.003513,-0.003614,-0.003578,-0.002611,0.023981,0.000455,0.000301,-0.004638,-0.000882,0.005111,-0.000666,0.002981,-0.004096,-0.001178,-0.000364,0.023981,-0.007089,0.022774,0.033651,-0.005067,0.00581,0.003458,-0.003224,-0.005677,-0.001733,-0.001663,-0.000489,0.000579,1.9e-05,-0.005553,-0.003297,0.099371,0.026465,0.070303,0.095696,0.003863,0.006381,0.005909,0.00221
Bwd IAT Total,-0.356358,0.787809,0.031272,0.320828,-0.021071,0.091729,0.088339,-0.240453,-0.216589,0.347129,0.381732,-0.037572,0.276845,0.389792,-0.049684,-0.068294,0.228909,0.440898,0.683345,-0.003812,0.786175,0.369165,0.521934,0.682205,-0.003463,1.0,0.635284,0.741144,0.872946,-0.000331,0.04138,0.009591,0.003203,-0.067687,-0.012885,-0.240712,0.25131,-0.172489,0.369057,0.127081,-0.005089,0.04138,0.435405,-0.011833,-0.050606,0.026295,-0.166701,-0.216589,0.276845,0.031272,-0.021071,0.320828,0.091729,0.310175,0.027778,-0.00798,0.033768,0.184979,0.292777,0.285487,0.077071,0.709776,0.294335,0.694675,0.69824
Bwd IAT Mean,-0.361913,0.575194,-0.043921,0.079149,-0.029049,0.001168,-0.152516,-0.242104,-0.25693,0.046967,0.072008,-0.021508,0.0318,0.075091,-0.050393,-0.06927,0.371527,0.458223,0.484418,-0.003867,0.573903,0.517287,0.495851,0.48286,-0.003513,0.635284,1.0,0.967094,0.79799,0.005405,0.006247,0.009736,0.004068,-0.068653,-0.013071,-0.242359,-0.058091,-0.255917,0.048123,0.014056,-0.005074,0.006247,0.458392,-0.032646,-0.051243,-0.034129,-0.229443,-0.25693,0.0318,-0.043921,-0.029049,0.079149,0.001168,0.169885,0.00382,-0.048958,0.03431,0.095641,0.193675,0.174748,0.024824,0.447289,0.405404,0.497636,0.37537
Bwd IAT Std,-0.371731,0.645582,-0.030508,0.12744,-0.028286,0.016985,-0.102049,-0.249486,-0.254984,0.118452,0.157961,-0.025327,0.098283,0.161498,-0.051848,-0.07127,0.357033,0.499174,0.604482,-0.003978,0.644236,0.506782,0.555191,0.602846,-0.003614,0.741144,0.967094,1.0,0.911725,0.004245,0.028207,0.010016,0.004073,-0.070636,-0.013448,-0.249744,0.022259,-0.242598,0.132063,0.042835,-0.005287,0.028207,0.464406,-0.025066,-0.05271,-0.020373,-0.220584,-0.254984,0.098283,-0.030508,-0.028286,0.12744,0.016985,0.208635,0.000715,-0.042524,0.035292,0.126917,0.220221,0.199304,0.044662,0.58551,0.410812,0.617183,0.528097
Bwd IAT Max,-0.366318,0.718574,0.008118,0.25616,-0.02461,0.071877,-0.003696,-0.247573,-0.237532,0.23288,0.293316,-0.030457,0.224147,0.294506,-0.051324,-0.07055,0.290783,0.49899,0.739644,-0.003938,0.716898,0.435798,0.577677,0.737632,-0.003578,0.872946,0.79799,0.911725,1.0,4.6e-05,0.055949,0.009914,0.003923,-0.069922,-0.013311,-0.247826,0.156052,-0.20019,0.271874,0.096141,-0.005256,0.055949,0.448226,-0.012384,-0.052207,0.017054,-0.1886,-0.237532,0.224147,0.008118,-0.02461,0.25616,0.071877,0.258204,0.002561,-0.020106,0.034928,0.191119,0.273096,0.253345,0.087408,0.741857,0.410426,0.750722,0.704819
Bwd IAT Min,-0.173768,0.02363,-0.069921,0.009806,-0.02455,-0.000856,-0.163154,-0.188141,-0.206783,-0.019805,0.01103,0.12713,0.03814,0.004534,-0.04054,-0.050202,0.015467,0.018789,0.020627,-0.003112,0.02342,0.028912,0.022001,0.020328,-0.002611,-0.000331,0.005405,0.004245,4.6e-05,1.0,0.011453,0.00746,-0.023943,-0.052677,0.032997,-0.188871,-0.095328,-0.203477,0.001835,0.001509,-0.002917,0.011453,0.153377,0.073159,0.052735,0.183517,-0.180323,-0.206783,0.03814,-0.069921,-0.02455,0.009806,-0.000856,0.064433,0.039802,-0.0707,0.022342,-0.002768,-0.004684,-0.004423,-0.000887,0.027587,0.040488,0.032764,0.019752
Fwd PSH Flags,-0.265302,0.017003,-0.056114,0.019862,-0.020693,0.001053,-0.092394,-0.168732,-0.158452,0.105826,-0.006016,0.004848,0.00363,-0.004803,-0.023183,0.100699,-0.031946,0.011821,0.06006,0.02317,0.017271,-0.015724,0.028949,0.060363,0.023981,0.04138,0.006247,0.028207,0.055949,0.011453,1.0,0.007048,0.003232,0.100615,0.007201,-0.176379,-0.067038,-0.162932,0.049808,0.013573,-0.003905,1.0,-0.075973,0.514396,-0.005297,0.007143,-0.142463,-0.158452,0.00363,-0.056114,-0.020693,0.019862,0.001053,0.096057,0.011948,-0.060445,0.024848,0.003314,-0.004218,-0.003501,0.004389,0.074332,0.031412,0.071101,0.076661
Fwd Header Length,-0.026054,0.015358,-0.067551,0.004713,-0.021692,0.001352,-0.013033,-0.020154,-0.021484,0.006432,0.006887,0.010887,0.008774,0.007019,0.00124,0.00256,0.017247,0.018055,0.015675,0.000521,0.015228,0.017625,0.017566,0.015506,0.000455,0.009591,0.009736,0.010016,0.009914,0.00746,0.007048,1.0,0.004194,0.002402,0.002449,-0.020285,-0.004189,-0.020275,0.008163,0.00314,0.001011,0.007048,0.019671,0.013702,0.009634,0.016214,-0.01237,-0.021484,0.008774,-0.067551,-0.021692,0.004713,0.001352,0.012806,0.006119,-0.069064,0.283575,0.004256,0.005062,0.005458,0.002534,0.013146,0.010359,0.01394,0.011671
Bwd Header Length,-0.011947,0.006783,0.00745,-0.001905,0.00262,0.000286,0.018132,0.01838,0.020891,0.005575,-0.001319,-0.058986,-0.013288,0.00289,0.004328,0.005942,0.009421,0.009334,0.00743,0.000332,0.006746,0.009183,0.008899,0.007395,0.000301,0.003203,0.004068,0.004073,0.003923,-0.023943,0.003232,0.004194,1.0,0.005893,0.001067,0.018393,0.010386,0.019274,-0.001251,0.001183,0.000464,0.003232,0.009021,0.006282,0.004417,-0.023554,0.016965,0.020891,-0.013288,0.00745,0.00262,-0.001905,0.000286,0.005874,0.002806,0.007235,0.05403,0.002114,0.002322,0.002601,0.001348,0.006038,0.004758,0.006402,0.005361
Fwd Packets/s,0.061961,-0.118706,-0.059207,-0.033267,-0.014236,-0.009545,0.205292,0.296707,0.292104,-0.029424,-0.048817,-0.081499,-0.063027,-0.04936,0.783361,0.997651,-0.149663,-0.151874,-0.124247,-0.005105,-0.117791,-0.146783,-0.145351,-0.123043,-0.004638,-0.067687,-0.068653,-0.070636,-0.069922,-0.052677,0.100615,0.002402,0.005893,1.0,0.025071,0.297986,0.09993,0.286277,-0.051437,-0.017384,0.026258,0.100615,-0.131342,0.079157,-0.020544,-0.110502,0.373376,0.292104,-0.063027,-0.059207,-0.014236,-0.033267,-0.009545,-0.034572,-0.041036,-0.056014,-0.046558,-0.032474,-0.035674,-0.039952,-0.020709,-0.092783,-0.073131,-0.098383,-0.082372
