experiment_id,feature_count,sampling_seed,selected_features
Random_35,12,20260937,"[""Bwd Packet Length Std"", ""Subflow Bwd Packets"", ""Bwd Header Length"", ""Flow Duration"", ""Flow Bytes/s"", ""Avg Packet Size"", ""Total Fwd Packets"", ""Fwd Packet Length Std"", ""Flow IAT Max"", ""Flow IAT Mean"", ""Fwd IAT Total"", ""Flow IAT Min""]"
Random_36,12,20260938,"[""Bwd IAT Min"", ""Active Max"", ""ACK Flag Count"", ""Bwd Header Length"", ""Fwd IAT Total"", ""Flow Duration"", ""Idle Max"", ""Subflow Fwd Packets"", ""Flow Packets/s"", ""Bwd Packet Length Min"", ""Packet Length Max"", ""Total Backward Packets""]"
Random_37,12,20260939,"[""Bwd Header Length"", ""Flow Packets/s"", ""Fwd Header Length"", ""Active Std"", ""Flow IAT Min"", ""Idle Max"", ""Fwd Packet Length Min"", ""Protocol"", ""Active Mean"", ""SYN Flag Count"", ""Bwd Packet Length Mean"", ""Fwd Packets Length Total""]"
Random_38,12,20260940,"[""Fwd IAT Mean"", ""Bwd Packet Length Max"", ""Packet Length Mean"", ""Fwd Header Length"", ""Fwd Packet Length Max"", ""Bwd IAT Mean"", ""Fwd IAT Std"", ""Bwd Header Length"", ""Subflow Bwd Packets"", ""Idle Max"", ""Fwd IAT Min"", ""Active Std""]"
Random_39,12,20260941,"[""Flow IAT Std"", ""CWE Flag Count"", ""Fwd Act Data Packets"", ""Idle Std"", ""Bwd Packets/s"", ""Fwd Packet Length Std"", ""Flow IAT Mean"", ""Flow Duration"", ""Active Min"", ""Protocol"", ""Fwd Packet Length Mean"", ""Subflow Bwd Bytes""]"
Random_40,12,20260942,"[""SYN Flag Count"", ""Active Mean"", ""Total Fwd Packets"", ""Bwd Packet Length Std"", ""Fwd Packet Length Mean"", ""Subflow Fwd Bytes"", ""Flow IAT Max"", ""Bwd Packet Length Max"", ""RST Flag Count"", ""Fwd IAT Min"", ""Packet Length Min"", ""Idle Max""]"
Random_41,15,20260943,"[""Fwd IAT Std"", ""Idle Mean"", ""Bwd Packets/s"", ""Init Fwd Win Bytes"", ""Flow IAT Mean"", ""Subflow Fwd Bytes"", ""Fwd IAT Total"", ""CWE Flag Count"", ""Packet Length Std"", ""Down/Up Ratio"", ""Packet Length Mean"", ""Flow Duration"", ""Fwd Packet Length Std"", ""Fwd IAT Max"", ""Fwd Packets/s""]"
Random_42,15,20260944,"[""Flow IAT Mean"", ""Total Backward Packets"", ""Active Min"", ""Flow IAT Std"", ""Avg Packet Size"", ""Fwd IAT Std"", ""Bwd Packet Length Mean"", ""Init Fwd Win Bytes"", ""Idle Max"", ""Fwd Packets Length Total"", ""Down/Up Ratio"", ""Fwd Seg Size Min"", ""Active Std"", ""Bwd IAT Min"", ""RST Flag Count""]"
Random_43,15,20260945,"[""Fwd Packet Length Mean"", ""Fwd Packet Length Min"", ""Bwd IAT Max"", ""Total Backward Packets"", ""Bwd Packet Length Max"", ""Packet Length Mean"", ""Packet Length Max"", ""Bwd IAT Total"", ""Packet Length Std"", ""Bwd IAT Min"", ""Bwd IAT Mean"", ""Packet Length Min"", ""Idle Mean"", ""Flow IAT Max"", ""Fwd Packets Length Total""]"
Random_44,15,20260946,"[""Avg Packet Size"", ""Fwd IAT Mean"", ""Bwd IAT Min"", ""Fwd Packet Length Mean"", ""Fwd Packets/s"", ""Total Backward Packets"", ""Packet Length Min"", ""Fwd PSH Flags"", ""Init Bwd Win Bytes"", ""Flow Bytes/s"", ""Bwd IAT Max"", ""Bwd Packets Length Total"", ""Active Max"", ""Fwd Packet Length Min"", ""Idle Max""]"
Random_45,15,20260947,"[""Active Min"", ""Bwd Header Length"", ""Active Mean"", ""RST Flag Count"", ""Protocol"", ""Subflow Fwd Packets"", ""Idle Mean"", ""Init Bwd Win Bytes"", ""Bwd IAT Min"", ""Fwd Packets/s"", ""Flow IAT Min"", ""Subflow Bwd Packets"", ""Fwd Packets Length Total"", ""Flow IAT Mean"", ""Bwd IAT Std""]"
Random_46,15,20260948,"[""Fwd IAT Std"", ""Bwd Packet Length Std"", ""Fwd Packet Length Max"", ""Flow IAT Min"", ""Flow IAT Std"", ""Flow IAT Mean"", ""RST Flag Count"", ""Bwd IAT Min"", ""Bwd Packets/s"", ""Bwd Packet Length Min"", ""Idle Max"", ""Fwd Packet Length Mean"", ""Bwd IAT Max"", ""Total Fwd Packets"", ""Active Std""]"
Random_47,15,20260949,"[""RST Flag Count"", ""Bwd IAT Total"", ""Active Std"", ""Bwd Packet Length Std"", ""Subflow Fwd Packets"", ""Fwd IAT Std"", ""Fwd Act Data Packets"", ""Subflow Bwd Bytes"", ""Active Mean"", ""Bwd IAT Mean"", ""SYN Flag Count"", ""Flow IAT Max"", ""Packet Length Min"", ""Fwd Packets/s"", ""Active Max""]"
Random_48,15,20260950,"[""Active Std"", ""Bwd Packets Length Total"", ""Bwd Header Length"", ""Bwd IAT Max"", ""Bwd Packet Length Max"", ""Bwd IAT Std"", ""Idle Mean"", ""Fwd IAT Min"", ""CWE Flag Count"", ""Protocol"", ""Flow IAT Min"", ""Bwd IAT Total"", ""Flow IAT Mean"", ""Fwd IAT Max"", ""Fwd IAT Std""]"
Random_49,15,20260951,"[""Fwd Packet Length Max"", ""Bwd IAT Std"", ""Bwd IAT Min"", ""Fwd IAT Min"", ""Bwd IAT Mean"", ""Bwd IAT Total"", ""URG Flag Count"", ""Bwd Packet Length Min"", ""Down/Up Ratio"", ""Packet Length Min"", ""Active Min"", ""Active Mean"", ""Avg Fwd Segment Size"", ""Fwd Seg Size Min"", ""Fwd PSH Flags""]"
Random_50,15,20260952,"[""Fwd IAT Std"", ""Subflow Bwd Packets"", ""Fwd IAT Max"", ""Idle Max"", ""Idle Mean"", ""Fwd Packet Length Mean"", ""Flow Duration"", ""Init Bwd Win Bytes"", ""Flow IAT Mean"", ""Bwd IAT Std"", ""Bwd IAT Max"", ""Subflow Bwd Bytes"", ""Avg Fwd Segment Size"", ""Bwd IAT Mean"", ""Idle Std""]"
Random_51,20,20260953,"[""Flow IAT Mean"", ""Active Std"", ""Init Fwd Win Bytes"", ""Bwd IAT Std"", ""Flow Bytes/s"", ""Packet Length Variance"", ""Fwd Packet Length Min"", ""Bwd Packet Length Max"", ""Bwd IAT Total"", ""Fwd IAT Min"", ""Subflow Fwd Packets"", ""Bwd Packets Length Total"", ""Active Min"", ""Total Backward Packets"", ""Fwd IAT Max"", ""Avg Packet Size"", ""Fwd Packet Length Max"", ""Fwd IAT Mean"", ""Packet Length Max"", ""Protocol""]"
Random_52,20,20260954,"[""Flow IAT Min"", ""Flow IAT Std"", ""Protocol"", ""Bwd Packets/s"", ""Bwd Packet Length Max"", ""Active Mean"", ""Subflow Bwd Packets"", ""Fwd Packets/s"", ""Init Fwd Win Bytes"", ""Fwd Packet Length Max"", ""Subflow Fwd Packets"", ""Bwd IAT Mean"", ""Bwd Packet Length Min"", ""Fwd Seg Size Min"", ""Bwd Header Length"", ""Avg Packet Size"", ""Init Bwd Win Bytes"", ""Flow Packets/s"", ""Subflow Bwd Bytes"", ""Down/Up Ratio""]"
Random_53,20,20260955,"[""Init Fwd Win Bytes"", ""Bwd Packet Length Max"", ""CWE Flag Count"", ""Fwd Packet Length Min"", ""Fwd Packet Length Mean"", ""Subflow Bwd Packets"", ""Fwd Packets Length Total"", ""Packet Length Std"", ""Subflow Fwd Packets"", ""Fwd IAT Mean"", ""Fwd IAT Total"", ""Fwd IAT Min"", ""Flow IAT Std"", ""Fwd Seg Size Min"", ""Flow IAT Min"", ""Bwd Packet Length Mean"", ""Active Min"", ""Packet Length Max"", ""Packet Length Mean"", ""Avg Packet Size""]"
Random_54,20,20260956,"[""Active Min"", ""Fwd IAT Min"", ""Fwd Packets/s"", ""Fwd Packet Length Max"", ""Active Max"", ""Init Bwd Win Bytes"", ""Bwd Packet Length Min"", ""URG Flag Count"", ""Bwd IAT Std"", ""Active Mean"", ""Protocol"", ""Avg Fwd Segment Size"", ""Active Std"", ""Packet Length Mean"", ""Down/Up Ratio"", ""Packet Length Variance"", ""Avg Bwd Segment Size"", ""Bwd Packet Length Std"", ""Idle Std"", ""Fwd Packets Length Total""]"
Random_55,20,20260957,"[""Active Std"", ""Idle Mean"", ""Fwd IAT Max"", ""Fwd IAT Mean"", ""Packet Length Mean"", ""Fwd Packet Length Std"", ""Active Mean"", ""Flow Duration"", ""Bwd Packets/s"", ""Packet Length Min"", ""Bwd Packets Length Total"", ""Active Min"", ""Fwd IAT Total"", ""Fwd Header Length"", ""Fwd IAT Min"", ""Fwd Packets Length Total"", ""Bwd Packet Length Std"", ""Fwd Act Data Packets"", ""Avg Packet Size"", ""Fwd Packet Length Mean""]"
Random_56,20,20260958,"[""Flow IAT Max"", ""Flow Duration"", ""URG Flag Count"", ""Bwd Header Length"", ""Fwd PSH Flags"", ""Total Backward Packets"", ""Bwd Packet Length Max"", ""Subflow Bwd Bytes"", ""Bwd Packets/s"", ""Active Mean"", ""Flow IAT Std"", ""Flow IAT Mean"", ""Init Bwd Win Bytes"", ""Packet Length Variance"", ""Total Fwd Packets"", ""Bwd IAT Max"", ""ACK Flag Count"", ""Fwd Act Data Packets"", ""Fwd IAT Mean"", ""Fwd Packet Length Mean""]"
Random_57,20,20260959,"[""Fwd Act Data Packets"", ""Packet Length Min"", ""Active Min"", ""Fwd Packet Length Max"", ""Down/Up Ratio"", ""RST Flag Count"", ""Bwd Packets/s"", ""Flow Bytes/s"", ""Flow IAT Max"", ""Subflow Fwd Packets"", ""Fwd IAT Mean"", ""ACK Flag Count"", ""Fwd IAT Min"", ""Bwd IAT Mean"", ""Idle Mean"", ""Packet Length Variance"", ""Bwd Packet Length Min"", ""Fwd Seg Size Min"", ""Fwd IAT Max"", ""Bwd IAT Max""]"
Random_58,20,20260960,"[""Fwd Act Data Packets"", ""Flow IAT Max"", ""Avg Bwd Segment Size"", ""Active Max"", ""ACK Flag Count"", ""Subflow Bwd Packets"", ""Total Fwd Packets"", ""Bwd Packets/s"", ""Packet Length Mean"", ""Bwd Packet Length Mean"", ""Fwd PSH Flags"", ""Subflow Fwd Bytes"", ""Bwd Header Length"", ""Bwd Packet Length Std"", ""RST Flag Count"", ""Fwd Header Length"", ""Idle Std"", ""Active Std"", ""Active Mean"", ""SYN Flag Count""]"
Random_59,20,20260961,"[""Bwd IAT Mean"", ""Fwd IAT Std"", ""Fwd Act Data Packets"", ""Active Max"", ""Bwd IAT Total"", ""Active Min"", ""Init Fwd Win Bytes"", ""Flow Bytes/s"", ""Fwd Seg Size Min"", ""Protocol"", ""Subflow Fwd Packets"", ""Packet Length Variance"", ""Subflow Bwd Bytes"", ""Idle Std"", ""Bwd Packet Length Std"", ""Fwd Packets Length Total"", ""Bwd Packet Length Max"", ""Packet Length Mean"", ""Flow IAT Mean"", ""Idle Max""]"
Random_60,20,20260962,"[""Bwd IAT Min"", ""Total Backward Packets"", ""Total Fwd Packets"", ""Flow IAT Min"", ""Packet Length Min"", ""Bwd Packet Length Std"", ""Flow IAT Max"", ""Fwd Packets Length Total"", ""Fwd Packet Length Min"", ""Idle Std"", ""Subflow Bwd Packets"", ""Subflow Fwd Bytes"", ""Avg Bwd Segment Size"", ""Bwd Packets Length Total"", ""Init Fwd Win Bytes"", ""Idle Min"", ""Avg Fwd Segment Size"", ""Bwd IAT Total"", ""URG Flag Count"", ""Packet Length Max""]"
Random_61,30,20260963,"[""Idle Mean"", ""Bwd Packets/s"", ""Packet Length Max"", ""Init Bwd Win Bytes"", ""Active Max"", ""Avg Packet Size"", ""Active Min"", ""Total Fwd Packets"", ""Avg Bwd Segment Size"", ""Fwd IAT Mean"", ""Active Mean"", ""Idle Min"", ""Subflow Fwd Bytes"", ""Bwd Packet Length Std"", ""Flow Packets/s"", ""SYN Flag Count"", ""Bwd IAT Total"", ""Flow Duration"", ""Fwd Packet Length Min"", ""Init Fwd Win Bytes"", ""Fwd Packet Length Std"", ""Bwd IAT Min"", ""Bwd Header Length"", ""Protocol"", ""Fwd Act Data Packets"", ""Idle Std"", ""Fwd Packets/s"", ""ACK Flag Count"", ""RST Flag Count"", ""Fwd Packet Length Max""]"
Random_62,30,20260964,"[""Avg Bwd Segment Size"", ""Flow Duration"", ""Fwd Act Data Packets"", ""Total Fwd Packets"", ""Avg Fwd Segment Size"", ""Flow IAT Max"", ""Packet Length Mean"", ""Fwd Packets/s"", ""Bwd IAT Min"", ""Idle Mean"", ""Bwd Packet Length Std"", ""Flow IAT Mean"", ""Fwd Packets Length Total"", ""Active Std"", ""Fwd Header Length"", ""Bwd Header Length"", ""Subflow Fwd Packets"", ""Active Mean"", ""Bwd Packet Length Mean"", ""RST Flag Count"", ""Bwd Packets/s"", ""Packet Length Min"", ""Flow Bytes/s"", ""Fwd PSH Flags"", ""Fwd IAT Total"", ""Fwd Packet Length Min"", ""Bwd Packets Length Total"", ""Bwd Packet Length Max"", ""Idle Min"", ""Fwd IAT Max""]"
Random_63,30,20260965,"[""Flow IAT Mean"", ""SYN Flag Count"", ""Subflow Fwd Bytes"", ""Active Max"", ""Bwd Packets/s"", ""Subflow Fwd Packets"", ""Bwd Header Length"", ""Flow Duration"", ""Subflow Bwd Bytes"", ""Fwd IAT Min"", ""Init Bwd Win Bytes"", ""Fwd Header Length"", ""CWE Flag Count"", ""Subflow Bwd Packets"", ""Avg Fwd Segment Size"", ""Bwd Packets Length Total"", ""Fwd IAT Max"", ""Bwd IAT Max"", ""Avg Packet Size"", ""Flow IAT Min"", ""Idle Min"", ""Total Fwd Packets"", ""Bwd Packet Length Max"", ""Flow Packets/s"", ""Avg Bwd Segment Size"", ""Packet Length Std"", ""Idle Mean"", ""Bwd Packet Length Min"", ""Flow IAT Max"", ""Bwd Packet Length Std""]"
Random_64,30,20260966,"[""Fwd Packets Length Total"", ""Protocol"", ""Fwd Packets/s"", ""Flow IAT Max"", ""Fwd Packet Length Min"", ""Avg Bwd Segment Size"", ""Idle Mean"", ""Idle Max"", ""Bwd Packet Length Max"", ""Bwd Packets/s"", ""Total Backward Packets"", ""Flow IAT Std"", ""Fwd IAT Mean"", ""Fwd IAT Min"", ""Fwd Packet Length Mean"", ""Fwd Packet Length Std"", ""Bwd Packet Length Mean"", ""Packet Length Min"", ""Flow Bytes/s"", ""Fwd Packet Length Max"", ""Packet Length Variance"", ""Bwd Packet Length Std"", ""Active Max"", ""Fwd IAT Std"", ""RST Flag Count"", ""Bwd Header Length"", ""Bwd IAT Mean"", ""Active Mean"", ""URG Flag Count"", ""Bwd IAT Max""]"
Random_65,30,20260967,"[""Fwd IAT Max"", ""Init Bwd Win Bytes"", ""Bwd IAT Std"", ""Total Backward Packets"", ""Flow IAT Max"", ""Fwd Packets Length Total"", ""Flow Packets/s"", ""Packet Length Std"", ""Subflow Bwd Bytes"", ""Avg Bwd Segment Size"", ""Bwd Packets/s"", ""Fwd IAT Total"", ""Down/Up Ratio"", ""Flow IAT Std"", ""Init Fwd Win Bytes"", ""Fwd Packets/s"", ""Bwd Packet Length Mean"", ""Bwd Packet Length Min"", ""Bwd IAT Mean"", ""Fwd Header Length"", ""Avg Fwd Segment Size"", ""Bwd Packet Length Max"", ""Active Mean"", ""Bwd IAT Max"", ""Bwd IAT Total"", ""Flow IAT Mean"", ""Total Fwd Packets"", ""Bwd IAT Min"", ""Idle Mean"", ""Flow IAT Min""]"
Random_66,30,20260968,"[""Packet Length Min"", ""Subflow Bwd Packets"", ""Init Fwd Win Bytes"", ""Flow Bytes/s"", ""Fwd Packets/s"", ""Idle Std"", ""Bwd Packet Length Max"", ""Active Mean"", ""Total Fwd Packets"", ""Packet Length Std"", ""Idle Mean"", ""Fwd Packet Length Std"", ""Bwd Header Length"", ""Subflow Bwd Bytes"", ""Fwd Packet Length Max"", ""Avg Packet Size"", ""Fwd IAT Std"", ""Bwd Packets Length Total"", ""Total Backward Packets"", ""URG Flag Count"", ""Avg Fwd Segment Size"", ""Init Bwd Win Bytes"", ""Flow IAT Mean"", ""Fwd Header Length"", ""Avg Bwd Segment Size"", ""Fwd Packet Length Min"", ""Subflow Fwd Bytes"", ""Bwd IAT Mean"", ""Subflow Fwd Packets"", ""Packet Length Max""]"
Random_67,30,20260969,"[""Packet Length Min"", ""Bwd Packet Length Max"", ""Bwd IAT Max"", ""Packet Length Max"", ""Flow Packets/s"", ""Active Std"", ""Bwd Packet Length Std"", ""Bwd Header Length"", ""Fwd Packet Length Max"", ""Avg Packet Size"", ""Packet Length Mean"", ""Bwd IAT Std"", ""Packet Length Variance"", ""Bwd Packet Length Min"", ""Bwd Packets Length Total"", ""Subflow Bwd Bytes"", ""Subflow Bwd Packets"", ""Flow IAT Mean"", ""Protocol"", ""Active Min"", ""Bwd IAT Mean"", ""ACK Flag Count"", ""Fwd Packet Length Mean"", ""Active Max"", ""Fwd Header Length"", ""Fwd IAT Std"", ""Subflow Fwd Packets"", ""Fwd IAT Total"", ""Avg Fwd Segment Size"", ""Fwd Packet Length Min""]"
Random_68,30,20260970,"[""CWE Flag Count"", ""Down/Up Ratio"", ""URG Flag Count"", ""Fwd PSH Flags"", ""Avg Bwd Segment Size"", ""Packet Length Mean"", ""Flow IAT Std"", ""Fwd Act Data Packets"", ""Bwd Header Length"", ""Bwd Packet Length Std"", ""Flow IAT Max"", ""Fwd IAT Max"", ""ACK Flag Count"", ""Flow IAT Mean"", ""Idle Mean"", ""Bwd Packets/s"", ""Active Mean"", ""Active Max"", ""Bwd IAT Min"", ""Fwd Packet Length Min"", ""Fwd Seg Size Min"", ""Subflow Fwd Packets"", ""Bwd IAT Mean"", ""Flow Duration"", ""Bwd Packets Length Total"", ""Fwd Packet Length Max"", ""Idle Min"", ""Fwd Packets Length Total"", ""Init Fwd Win Bytes"", ""Flow Packets/s""]"
Random_69,30,20260971,"[""Bwd IAT Total"", ""Bwd Packets/s"", ""Total Fwd Packets"", ""ACK Flag Count"", ""Bwd IAT Std"", ""Total Backward Packets"", ""Bwd Header Length"", ""Bwd Packet Length Mean"", ""SYN Flag Count"", ""Subflow Fwd Bytes"", ""URG Flag Count"", ""Down/Up Ratio"", ""Active Max"", ""Fwd IAT Mean"", ""Init Bwd Win Bytes"", ""Avg Fwd Segment Size"", ""Packet Length Std"", ""Fwd Header Length"", ""Idle Max"", ""Fwd IAT Total"", ""Init Fwd Win Bytes"", ""Fwd PSH Flags"", ""Flow IAT Max"", ""Active Mean"", ""RST Flag Count"", ""Packet Length Max"", ""Fwd Packet Length Std"", ""Bwd Packet Length Std"", ""Active Std"", ""Flow IAT Mean""]"
Random_70,30,20260972,"[""Down/Up Ratio"", ""Fwd Packet Length Min"", ""Idle Max"", ""Active Max"", ""Fwd Packet Length Max"", ""Avg Bwd Segment Size"", ""Bwd Packet Length Mean"", ""Active Min"", ""Packet Length Max"", ""Subflow Bwd Bytes"", ""Fwd PSH Flags"", ""Bwd IAT Total"", ""Subflow Fwd Packets"", ""Init Bwd Win Bytes"", ""Packet Length Std"", ""Idle Min"", ""Total Backward Packets"", ""URG Flag Count"", ""Bwd Packets/s"", ""Fwd Seg Size Min"", ""Bwd Packets Length Total"", ""Init Fwd Win Bytes"", ""Bwd IAT Min"", ""Total Fwd Packets"", ""Fwd IAT Min"", ""Fwd IAT Total"", ""Active Mean"", ""CWE Flag Count"", ""Flow Bytes/s"", ""Bwd Packet Length Min""]"
